start_station_name,trips
Grove St PATH,42556
South Waterfront Walkway - Sinatra Dr & 1 St,34245
Hoboken Terminal - River St & Hudson Pl,33020
Hoboken Terminal - Hudson St & Hudson Pl,30244
City Hall - Washington St & 1 St,23289
Newport Pkwy,21961
Hamilton Park,20477
Newport PATH,19965
Hoboken Ave at Monmouth St,19501
Marin Light Rail,19230
12 St & Sinatra Dr N,17137
14 St Ferry - 14 St & Shipyard Ln,17066
Columbus Dr at Exchange Pl,16731
Hudson St & 4 St,15883
Harborside,15754
11 St & Washington St,15502
Washington St,15101
Liberty Light Rail,14563
8 St & Washington St,14423
Madison St & 1 St,14124
